Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@calamaenlinea	Covid-19: 1.556 casos nuevos 61 fallecidos se reportaron en el país - https://t.co/GGxYkuxibQ	2020-08-17 15:44:38	es		0.0	0.0		Calama En Linea	Productora audiovisual y medio informativo de la Provincia El Loa.	3417.0	22.0	1317.0	4621.0	9.0	False		
@TVTenlinea	"#AlMomento ""Vamos a esperar a que la gente cumpla con las medidas, pues a quedado por parte de los tabasqueños aplicarlas"", indicó el diputado del PRI, Gerald Washington con respecto a mantener el semáforo en rojo por parte del Gobierno para disminuir los contagios por COVID-19. https://t.co/yERwhe8VNV"	2020-08-17 15:44:36	es		0.0	0.0		Televisión Tabasqueña	Donde lo bueno pasa	80004.0	1726.0	542.0	32385.0	166.0	False		
@Hectorsoto8	#EnVivo el gobernador @AispuroDurango presenta aplicación APP Che-kDgo, aplicación para teléfonos celulares con #Covid_19 serán atendidos por la @SSDurango. https://t.co/9VIU2N4STa https://t.co/y7CEK69Xyy	2020-08-17 15:44:34	es	MX	0.0	0.0		Hector Soto	Comunicador, ambientalista, amigo de los amigos. Creo en Dios y en la familia. Aquí nada es personal. Nos vemos en @elpurgatorio y @EnvivoDurango.	21914.0	6865.0	349.0	3702.0	16.0	False		
@ElHuffPost	"Entramos en un grupo de Telegram de los negacionistas del Covid-19: desde aviones que fumigan hasta el Gobierno masón
https://t.co/HgyfXBBaog"	2020-08-17 15:44:34	es		0.0	0.0		El HuffPost	También estamos en: ▶ IG: https://t.co/Oo7RtyJMvW ▶ iPhone: https://t.co/SdOb9Ky4cy ▶ Android: https://t.co/5Rh1REb8e0	491640.0	1391.0	1942.0	481295.0	7978.0	True		
@esJavierCortes	Oye @DavidCuestaTV ¿la resolución nueva del @PresiCan sobre el uso de las mascarillas obligatorias del día 14 de agosto tiene aplicación 20 días después de su publicación en el BOC como dicta el Código Civil o no? #COVID__19 #COVID19 #17Agosto #coronavirus #canarias @MIRAMETV	2020-08-17 15:44:30	es		0.0	0.0		Javier Cortés	Náufrago de escritos. Explorador de los géneros del relato corto, la novela y poesía. 'Matar a la Bailarina' (2019).	547.0	445.0	209.0	30.0	1.0	False		
@LaOpcion	"Melisa es una víctima más del Covid-19, no porque haya sido contagiada, sino porque en cuatro meses perdió el trabajo, su departamento y a su hermana, con quien vivía, la cual también fue despedida
 https://t.co/bR0NnW1Nlo"	2020-08-17 15:44:29	es		0.0	0.0		La Opción de Chih	Periódico digital líder en la ciudad de Chihuahua y México. Información política, deportiva, de seguridad, económica, sociales, y mucho, mucho más.	145540.0	3726.0	661.0	13845.0	136.0	False		
@PreludioRadio	El primer lote de la vacuna Spútnik V Covid-19 superó las 15 mil dosis https://t.co/cJwCUAAw7m	2020-08-17 15:44:29	es		0.0	0.0		Preludio Radio	Preludio es la marca radial con más tradición en la FM de Aconcagua, fundada el 23 de septiembre de 1982 RADIO F.M. V REGION 100.9 F.M. WhatsApp +569 83807177	32588.0	74.0	1177.0	10086.0	31.0	False		
@Newtral	"Sanidad registra 16.269 contagios por #Covid_19 desde el viernes en España, 1.833 en las últimas 24 horas. 

Los fallecidos en los últimos 7 días ascienden a 54.

https://t.co/wOnmvLjOoW https://t.co/67IchNOUc1"	2020-08-17 15:44:27	es		0.0	1.0		Newtral	Periodismo, tecnología, datos e historias que importan. Fact-checking y verificación de bulos @Newtral_edu @Transparentia_ @Pronostika_📢Telegram https://t.co/zqpClqG1jC	21709.0	1299.0	110.0	166206.0	1254.0	True		
