Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@Marcelo01759315	@florenciannz99 Ya sos inmune al covid 19 jaja	2020-07-15 01:22:36	es		0.0	0.0	@florenciannz99	Marcelo Rivero	tatuaje✒, Fernet☺ , 💙Boca 💛, Manejar mi pasión🏍🚘, el R.A.P mi mundo aparte🎧	68.0	57.0	151.0	14.0	0.0	False		
@LaVozDeVeraguas	1,588 casos acumulados de covid-19 en Veraguas. https://t.co/9DtDJL8tFz	2020-07-15 01:22:33	es		0.0	0.0		La Voz De Veraguas	"Una nueva voz en Veraguas, un nuevo concepto en información. Actualidad y objetividad. Tus denuncias al 6780-3271.
Lavozdeveraguas@gmail.com"	106779.0	192.0	588.0	8793.0	27.0	False		
@German_Braganza	45 casos de Covid 19 en Mendoza. Había leído 27. 😲😲😲😲😲😲	2020-07-15 01:22:32	es	AR	0.0	0.0		🇦🇷𝔾𝕖𝕣𝕞𝕒́𝕟 𝕕𝕖 𝔹𝕣𝕒𝕘𝕒𝕟𝕔̧𝕒🇵🇹	"*Mendoza - Argentina.
*🇦🇷Argentino y ciudadano portugués.🇵🇹

*Amante de la lectura.📚 

*Felizmente casado. 👬"	34085.0	64069.0	2466.0	5110.0	15.0	False		
@VMGlezR	"Incidencia de Covid-19 en los municipios de Jalisco con casos reportados.
En 108 municipios se han reportado casos.
Según base de datos de la SSA del 14 de julio de 2020. https://t.co/0GxgwGCLwi"	2020-07-15 01:22:30	es		0.0	0.0		Víctor M Glez R	Ciudadano (poco) común y (muy) corriente - Pescador de la Cruz de Huanacaxtle	6047.0	1232.0	526.0	1812.0	22.0	False		
@rtp_bolivia	"Los casos nuevos de COVID-19 vuelven a subir en Santa Cruz y en La Paz se reducen en relación a la pasada jornada.
Este martes se reportaron 1.617 nuevos infectados y 32 decesos, con lo que suman 50.867 enfermos en total y 1.898 fallecidos. https://t.co/ltgjtSVzNT"	2020-07-15 01:22:28	es		0.0	0.0		RTP Bolivia	El Sistema de Radio y Televisión Popular, es un sistema de medios de comunicación, que se destaca por su labor social, contenido diferente y servicio al pueblo.	34460.0	321.0	225.0	46856.0	172.0	False		
@Asi_Sucede	"#ReporteCOVID19Edomex
Sigue en ascenso la epidemia de COVID-19 en el estado de México: 791 casos nuevos este martes, según @SSalud_mx --&gt; https://t.co/Ab3ToBYIOU https://t.co/bBICHaEBiq"	2020-07-15 01:22:27	es		0.0	0.0		Noticiario Así Sucede Toluca	Noticias de TOLUCA. Noticiario radiofónico líder en Toluca y el Edomex con @FelipeGlz. Información que sirve. Web: https://t.co/f7iJUaDMn1	115516.0	397.0	59.0	7600.0	86.0	False		
@fdelrinconCNNE	Brasil informó el martes de 41.857 nuevos casos de coronavirus, alcanzando un total de 1.926.824 infecciones, y otras 1.300 muertes debido al COVID-19, lo que eleva la cifra de decesos en el país por la enfermedad a 74.133, informó el Ministerio de Salud.	2020-07-15 01:22:26	es		0.0	0.0		Fernando Del Rincón	Twitter Informativo: Cuenta no oficial y de apoyo a @Soyfdelrincon en Vzla.. Noticia Sin Censura. #LibertadDeExpresion IG @fdelrincon Sigue @fdelrinconve 💪🇻🇪	22236.0	0.0	133.0	116729.0	208.0	False		
@RKMNoticias	"@GobSantaCruz reportó esta jornada,  864 nuevos casos de #COVID_19, 408 pacientes recuperados y  7 decesos. El total sube a 26. 124 contagios y los fallecidos a 740.
#RkmNoticias https://t.co/Thyoa8DVJp"	2020-07-15 01:22:26	es		0.0	0.0	@GobSantaCruz	RKM Bolivia	"Radio Solidaria 
RKM Noticias es el Twitter oficial del equipo de prensa con las noticias"	7873.0	833.0	395.0	858.0	14.0	False		
